		瘤痢锅龋,瘤痢疙,老矫,乞闭扁柯(∩),弥绊扁柯(∩),	弥绊扁柯矫阿,弥历扁柯(∩),弥历扁柯矫阿老背瞒,
127,面林,2020-06-01,19.7,26.3,13:24,13.8,23:41,12.5
127,面林,2020-06-02,18.8,25.3,16:11,11.6,2:51,13.7
127,面林,2020-06-03,21.8,28.2,16:34,17,5:30,11.2
127,面林,2020-06-04,25,30.5,17:05,19.6,1:16,10.9
127,面林,2020-06-05,24.1,29.9,16:23,20.1,23:19,9.8
127,面林,2020-06-06,23.7,30.1,14:47,17,4:58,13.1
127,面林,2020-06-07,22.7,29,16:39,17.7,2:09,11.3
127,面林,2020-06-08,24.9,31.7,15:16,18.3,5:22,13.4
127,面林,2020-06-09,26,33.8,15:47,18.1,4:55,15.7
127,面林,2020-06-10,25.7,33.7,15:03,19,5:17,14.7
127,面林,2020-06-11,25.4,31.6,16:19,20.7,5:26,10.9
127,面林,2020-06-12,23.6,27.8,10:57,20.5,23:54,7.3
127,面林,2020-06-13,25,32.5,16:35,19.7,4:34,12.8
127,面林,2020-06-14,23.9,28.3,14:44,20.8,23:55,7.5
127,面林,2020-06-15,22.4,28.7,15:50,15.8,5:44,12.9
127,面林,2020-06-16,22.1,29.3,15:50,15.1,4:12,14.2
127,面林,2020-06-17,23.2,29.1,15:06,16.7,5:24,12.4
127,面林,2020-06-18,21,24.5,14:20,17.8,23:09,6.7
127,面林,2020-06-19,22.3,28.7,15:37,17.5,0:56,11.2
127,面林,2020-06-20,24.7,30.6,14:43,18.2,5:52,12.4
127,面林,2020-06-21,25.7,32.3,16:07,20.7,6:05,11.6
127,面林,2020-06-22,27.1,34.4,16:05,19.6,4:42,14.8
127,面林,2020-06-23,26.6,33.7,13:42,20.8,5:09,12.9
127,面林,2020-06-24,22.4,25.6,2:38,19.8,19:15,5.8
127,面林,2020-06-25,21.3,23.8,11:32,20,4:30,3.8
127,面林,2020-06-26,22.1,27.5,15:56,19.3,5:01,8.2
127,面林,2020-06-27,23.2,28.5,16:29,19,3:35,9.5
127,面林,2020-06-28,23.9,30.3,14:53,18.6,3:10,11.7
127,面林,2020-06-29,22.5,27,15:50,17.9,4:50,9.1
127,面林,2020-06-30,20,22,13:17,17.2,23:50,4.8
		,,,,,,,,
	,,,,,,,,
	,,,,,,,,
	,,,,,,,,
	,,,,,,,,
		,,,,,,,,
	,,,,,,,,
	,,,,,,,,
